set,language,singer,title,url,views,likes,comments,bonafide_or_spoof
2,6,1,962,975,2337396,39087,3163,0
2,6,1,765,820,2149226,46190,4505,0
2,6,1,405,220,58577,1150,84,0
2,6,1,769,183,38177,303,49,0
2,6,1,383,823,5306,153,34,0
2,6,1,963,1009,627768,11234,268,0
2,6,1,770,856,8080,170,30,0
2,6,1,768,896,63426,965,55,0
2,6,1,810,877,7607,132,24,0
2,6,1,767,200,8327,157,45,0
2,6,1,771,109,6600,187,73,0
2,6,1,384,691,62915,1352,109,0
2,6,1,385,983,1082,71,8,0
2,6,1,766,594,7821,240,31,0
2,6,1,326,706,6149,314,85,1
2,6,1,541,950,4806,209,63,1
2,6,1,450,1091,1900,29,7,1
2,6,1,544,218,18204,462,75,1
2,6,1,545,845,37844,1381,232,1
2,6,1,749,442,11889,629,177,1
2,6,1,539,208,63160,2330,256,1
2,6,1,662,1065,752,13,10,1
2,6,1,542,356,105616,4683,539,1
2,6,1,543,148,2685,105,43,1
2,6,1,451,1165,2047,34,5,1
2,6,1,660,1085,2166,48,8,1
2,6,1,540,127,646803,44472,2152,1
2,6,2,1218,80,19717,227,16,0
2,6,2,1224,86,19717,227,16,0
2,6,2,1083,77,19717,227,16,0
2,6,2,1221,88,19717,227,16,0
2,6,2,1241,81,19717,227,16,0
2,6,2,1018,79,19717,227,16,0
2,6,2,1237,87,19717,227,16,0
2,6,2,1178,84,19717,227,16,0
2,6,2,860,89,19717,227,16,0
2,6,2,859,74,19717,227,16,0
2,6,2,1094,75,19717,227,16,0
2,6,2,1244,78,19717,227,16,0
2,6,2,1012,85,19717,227,16,0
2,6,2,1015,76,19717,227,16,0
2,6,2,607,518,179,7,2,1
2,6,2,380,906,21950,574,122,1
2,6,2,376,433,311826,5920,594,1
2,6,2,374,839,6375,162,35,1
2,6,2,373,424,49577,1182,142,1
2,6,2,379,575,16568,383,102,1
2,6,2,377,573,16837,344,88,1
2,6,2,378,981,28265,473,69,1
2,6,2,608,627,2978,81,27,1
2,6,2,375,921,51569,1299,126,1
2,6,6,411,434,1865995,20827,901,0
2,6,6,793,604,387418,4249,342,0
2,6,6,1198,1035,81657064,126695,8026,0
2,6,6,1051,795,12402,92,4,0
2,6,6,852,801,12402,92,4,0
2,6,6,789,115,272507,2519,214,0
2,6,6,1187,1170,3690697,10184,471,0
2,6,6,787,219,253865,2627,202,0
2,6,6,790,778,79005,2763,152,0
2,6,6,1188,1074,12472881,53303,2778,0
2,6,6,1062,802,12402,92,4,0
2,6,6,1230,796,12402,92,4,0
2,6,6,242,1105,94629074,204762,6955,0
2,6,6,751,574,5436,203,33,0
2,6,6,1194,1255,10532736,35847,2725,0
2,6,6,241,1058,58915389,115591,2886,0
2,4,6,1201,1110,197735,2972,187,0
2,6,6,851,800,12402,92,4,0
2,6,6,788,485,107807,4425,249,0
2,6,6,1192,1169,16460236,46748,2424,0
2,6,6,1208,523,47548,505,67,0
2,6,6,1189,1224,21086730,66149,2137,0
2,6,6,868,799,12402,92,4,0
2,6,6,841,798,12402,92,4,0
2,6,6,404,210,613319,11702,1533,0
2,6,6,812,378,189591,2194,102,0
2,6,6,1248,788,12402,92,4,0
2,6,6,814,855,50649,590,67,0
2,6,6,1191,1052,3893074,17717,968,0
2,6,6,1190,1046,3226187,15850,558,0
2,6,6,786,290,427571,7687,579,0
2,6,6,1013,794,12402,92,4,0
2,6,6,1196,1092,89624312,140388,6672,0
2,6,6,1193,1236,5837846,23527,1081,0
2,6,6,792,69,97143,3561,281,0
2,6,6,1275,792,12402,92,4,0
2,6,6,1200,1214,1417895,9619,942,0
2,6,6,1199,1137,1051380,12086,597,0
2,6,6,750,470,25340,154,58,0
2,6,6,827,638,8900,50,28,0
2,6,6,1246,793,12402,92,4,0
2,6,6,1186,524,166100,919,107,0
2,6,6,428,120,35963,418,48,0
2,6,6,1197,1221,19186353,48439,1215,0
2,6,6,1202,1019,2958,127,2,0
2,6,6,243,1204,69171301,102382,1947,0
2,6,6,1008,790,12402,92,4,0
2,6,6,1066,803,12402,92,4,0
2,6,6,791,882,415731,4633,398,0
2,6,6,1195,1095,9525867,21283,692,0
2,6,6,828,135,152316,1329,173,0
2,6,6,412,963,351646,1488,41,0
2,6,6,1204,1233,68288938,137518,4883,0
2,6,6,826,230,71057,463,101,0
2,6,6,1205,1007,9776,183,31,0
2,6,6,240,1070,21774341,72687,3797,0
2,6,6,1203,786,12402,92,4,0
2,6,6,244,1125,16586108,47428,1673,0
2,6,6,1206,559,92245,996,168,0
2,6,6,386,137,456314,4762,153,0
2,6,6,1166,791,12402,92,4,0
2,6,6,1172,787,12402,92,4,0
2,6,6,813,277,311043,2316,555,0
2,6,6,1207,922,173701,961,206,0
2,6,6,1176,789,12402,92,4,1
2,6,6,649,398,3683,61,33,1
2,6,6,645,403,25452,547,278,1
2,6,6,430,274,16674,394,98,1
2,6,6,654,895,4547,57,12,1
2,6,6,142,463,951,26,8,1
2,6,6,589,805,5595,75,33,1
2,6,6,650,976,2991,75,9,1
2,6,6,646,131,3744,91,29,1
2,6,6,839,797,12402,92,4,1
2,6,6,137,510,889,24,2,1
2,6,6,143,650,338,15,4,1
2,6,6,658,945,18916,610,148,1
2,6,6,140,583,934,24,3,1
2,6,6,138,213,1502,40,9,1
2,6,6,648,697,12199,217,60,1
2,6,6,655,849,13006,202,50,1
2,6,6,652,498,22626,660,120,1
2,6,6,135,838,915,21,2,1
2,6,6,141,38,412,9,2,1
2,6,6,429,65,7975,167,44,1
2,6,6,647,358,22814,576,109,1
2,6,6,136,591,794,31,6,1
2,6,6,298,296,25942,1098,149,1
2,6,6,656,614,9816,201,63,1
2,6,6,658,945,18916,610,148,1
2,6,6,651,507,2038,24,6,1
2,6,6,958,355,7566,102,49,1
2,6,6,39,601,1375,35,13,1
2,6,6,139,534,354,15,4,1
2,6,6,653,214,3519,62,17,1
2,6,6,854,35,9864,200,66,1
2,6,6,644,459,6275,104,34,1
2,6,6,657,564,4250,116,18,1
2,6,6,145,63,714,20,2,1
2,6,6,144,977,634,24,3,1
2,6,6,984,246,5861,144,30,1
2,6,6,659,61,9632,102,58,1
2,1,7,1032,1145,10303567,34293,1106,0
